0.90592,0.00000,0.09408
0.00386,0.98456,0.01158
0.01465,0.04029,0.94505
1.00000,0.00000,0.00000
0.00000,0.81210,0.18790
0.34071,0.32596,0.33333
1.00000,0.00000,0.00000
0.45975,0.54025,0.00000
0.47280,0.44278,0.08443
1.00000,0.00000,0.00000
0.00000,0.81210,0.18790
0.37842,0.24155,0.38003
0.57562,0.00000,0.42438
0.00000,0.81210,0.18790
0.17474,0.38408,0.44118
0.48113,0.39623,0.12264
0.00000,0.51633,0.48367
0.48057,0.00000,0.51943
0.00000,0.57562,0.42438
0.00000,0.72443,0.27557
0.00000,0.45745,0.54255
